@relation agua-cat4-sem_CAT-weka.filters.unsupervised.instance.Resample-S1-Z65.0-no-replacement

@attribute TRANS numeric
@attribute TEMP numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute COND numeric
@attribute Cl numeric
@attribute FeTotal numeric
@attribute Ca numeric
@attribute Mg numeric
@attribute Na numeric
@attribute K numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute ORP numeric

@data
3,29.5,2.1,6.75,6.14,46.8,2.63,1.29,3.68,1.94,1.2,0.6,48.42,15.25,0.93,16.76,2.4,5.71,2.01,170.3
2,30.3,6.51,7.29,6.4,49,2.18,0.91,3.36,2.72,1.8,1.3,17.35,40.93,2.67,13.47,3.6,9.52,13.7,85.3
0.8,31.1,6.18,7.64,8.65,42.7,2.53,0.59,4.32,2.38,1.9,1.6,338,84.77,8.76,25.3,9.8,16.18,17.16,94.5
0.4,26.7,4.7,6.5,13.09,46.1,2.9,2.25,2.08,1.17,3,3.3,87.13,37.63,35.57,83.73,17,2.78,45.6,229.48
2,28.1,6.26,7.5,3.94,39.1,1.7,0.32,2.88,2.82,2.3,1,19.57,31.71,1.97,17.86,8.6,6.19,1.73,153.8
2.2,31.6,5.94,6.85,8.8,39.9,2.42,1.1,3.84,1.46,3,1.3,32.44,6.99,15.85,22.49,2.6,7.14,3.05,158.6
2.2,30.2,5.27,6.68,5.6,41.9,2.34,0.57,3.36,1.94,2.2,1.8,12.91,8.28,1.63,20.87,2.6,8.33,2.66,221.1
3.2,30.8,4.6,7.91,3.08,44.3,3.07,0.37,4,1.46,2.5,1.5,12.91,10.71,0.93,9.43,0.6,3.09,5.24,100.1
0.8,28.2,5.16,6.87,3.36,55.3,2.37,1.21,4,0.97,2.2,1.8,58.46,29.48,33.31,41.87,6.2,4.81,16.36,88.7
2.1,30.8,5.77,7.18,5.52,36.5,1.76,0.24,3.88,1.65,1.9,1,1.87,2.37,12.95,15.95,1.6,16.66,3.27,188.19
3.6,30.1,5.5,7.27,7.48,46.4,2.13,0.4,4.96,2.43,1.2,0.7,8.48,71.63,9.59,34.24,1.75,4.58,4.98,186.9
3.7,29.7,6.25,7.16,6.89,55,2.94,0.52,4.32,1.75,2.5,1.3,18.97,6.62,10.37,12.83,0.6,3.09,1.88,183.76
1,29.5,4.51,6.78,5.41,44.5,1.78,1,4.48,2.14,2.2,1.9,19.57,116.09,9.94,40.75,8,39.33,24,167.4
1,31.2,6.44,7.68,8,57,2.34,1.06,4.16,1.17,2.3,1.79,74.8,7.12,15.53,22.8,3.6,7.14,2.4,94.3
2.1,30.7,4.14,7.12,5.68,59.5,2.98,0.63,4.16,1.85,4,2.5,86.54,19.96,1.55,16.42,8.8,11.22,4.54,143.5
2,29.9,6.13,7.29,5.8,48.3,1.6,0.4,3.84,2.24,2.5,1.6,12.46,68.19,3.01,16.07,1.6,6.74,7.35,186.54
2,28.8,5.49,7.56,6.89,64.4,2.94,0.56,4,1.36,1.1,1.3,37.38,80.87,0.86,14.4,2.6,0.4,6.94,143.2
2.6,29.5,5.12,6.5,6.08,54.8,2.55,0.25,3.36,1.17,3,2.1,48.88,2.15,14.56,15.19,4,6.9,2.51,207.8
3.2,30.7,4.62,7.68,1.94,44.2,3.07,0.44,4.16,1.55,2.5,1.5,19.57,7.26,0.93,8.08,1,7.14,5.16,214.17
1.5,28.6,2.94,6.48,3.23,38.3,2.84,0.6,2.88,2.13,2,1.8,131.65,4.84,0.59,29.1,4.2,5.47,4.4,190.3
2.6,29.6,6.05,7.42,4.81,54,3.83,0.77,3.84,1.56,2.7,1.5,56.86,46.23,9.73,22.49,1.6,7.5,7.27,146.5
2.5,29.4,6.63,7.36,6.89,82,2.94,0.26,4.32,2.53,2,1.2,16.24,134.41,0.89,11.32,2,2.62,6.57,182.31
2,29.5,5.31,7.3,5.8,48.1,1.6,1.36,3.52,1.94,2.5,1.7,8,96.93,6.82,18.13,10.8,6.74,10.25,177
0.9,30.9,5.45,7.15,11.12,61.5,3.35,0.48,3.34,2.59,5.9,1.7,30.48,15.68,17.78,47.42,9.67,22.02,8.56,200.85
2.6,30,2.12,6.86,6.96,48.1,2.72,1.19,4.08,1.12,4.1,1.6,170.49,55.41,12.63,31.84,3.6,6.64,5.23,111.1
4,30.35,6,7.56,9.98,51.1,2.04,0.22,3.36,1.85,1.3,1.9,0.82,2.38,4.64,7.09,0.4,4.05,1.24,187.28
3,29.5,0.18,6.71,7.87,67.7,3.49,2.88,4,2.43,5.4,2,237.07,23.91,40.97,61.39,4.8,5.39,1.65,136.7
1.3,29.8,6.7,7.09,6.4,45.4,2.13,0.86,3.68,2.04,2.6,1.4,43.99,37.3,4.05,30.81,5.6,5.09,8.25,313.1
3,30,6.14,7.42,1.82,37.9,2.9,0.2,3.52,1.75,2,1.1,25.12,13.61,0.93,9.76,1,7.38,11.29,124.8
0.6,28.6,5.6,7.24,11.84,73.3,2.39,2.69,2.56,1.85,1.8,1.5,27.19,24.31,17.35,58.26,10.8,6.43,28.5,170.2
3,30.5,6.12,7.64,2.55,37.9,2.56,0.2,3.68,1.85,2,1.1,15.13,13.61,0.93,8.41,1.4,7.85,11.25,212.94
3,29.4,6.38,7.42,6.38,54.1,2.73,0.49,3.8,1.26,3.2,1.3,29.94,62.12,14.56,24.05,1.4,4.76,6.43,180.25
3.1,29.6,4.65,7.46,6.89,54.5,2.94,0.21,3.84,1.94,2.3,1.4,16.29,74.47,7.39,12.76,0.8,1.9,1.76,68.9
2,29.6,6.25,7.36,5.8,48,1.6,0.54,3.52,2.04,2.5,1.7,9.11,86.33,6.47,15.73,3,6.74,10.34,164.1
2,29.5,3.97,6.48,4.58,49.1,2.41,0.53,3.84,2.53,5.4,1.8,25.12,4.97,0.93,12.64,2.2,5,5.27,172.81
2.2,30.5,5.58,7.42,6.24,50.9,2.27,0.33,3.2,2.43,3.1,2,41.77,24.58,7.91,19.84,3.8,20.94,14.58,281.7
1.8,30.7,6.1,6.97,7.2,35.8,2.38,0.66,4.16,1.46,2.1,1.6,10.75,9.42,11.34,24.05,4.4,12.38,3.54,110.3
3.5,30.6,5.87,7.07,2.46,71.3,3.41,0.08,4,1.55,1.1,0.7,15.13,6.95,0.93,10.1,1.2,10.23,11.19,187.28
3,30.8,5.12,6.95,6.32,45.1,2.47,0.49,4.16,1.84,3.1,1.4,55.15,13.4,10.37,14.08,1,5.71,1.58,110.2
1.9,30.4,5.33,7.48,7.48,57.1,2.13,0.03,4.8,1.45,1.2,0.6,18.46,35.09,1.28,13.14,1.2,6.9,13.06,164.3
2.5,32.4,5.35,7.08,6.4,57,2.61,0.67,3.84,1.26,3.6,1.9,31.93,5.46,20.68,23.43,2,5.24,2.23,157.2
0.6,28.6,5.2,7.16,6.99,56.2,2.74,0.82,4.8,1.75,1.3,1.8,32.59,47.63,23.11,33.21,23.4,5,22.3,74.9
1,30.5,6.28,7.55,7.92,56.4,2.26,1.08,4,0.97,2.3,1.8,47.88,13.03,14.56,23.11,4.6,5.71,3.24,96.6
1.9,30.1,6.07,7.51,7.48,57.1,2.13,0.02,4.32,1.26,1.2,0.6,32.89,49.39,1.97,12.12,1.6,6.19,11.53,202.82
0.9,29.5,2.14,7.19,7.92,56.6,3.07,0.76,4,0.49,1.8,2.1,32.59,49.26,31.04,33.21,7.4,8.55,10.07,68.8
2.3,30,5.86,7.26,4.81,58.5,2.73,0.28,3.36,0.87,2.6,1.8,10.71,112.98,2.58,6.77,2.2,7.62,2.07,143.1
1,30.2,5.94,7.11,9.21,62.3,2.66,1.14,4,0.97,3.3,2.2,142.59,13.51,17.46,23.43,4.4,8.77,15.16,103.9
3,28.4,0.66,7.01,9.28,77.6,2.39,5.87,4,1.46,2.1,2,240.37,23.01,60.96,75.53,1.6,4.69,3.46,146.1
4,30.35,1.44,7.15,15.26,75.2,2.9,4.62,3.2,2.04,1.4,1.8,296.25,22.97,4.64,6.76,4.2,4.64,2.22,103.7
2.2,30.7,5.89,7.23,1.83,36.8,2.13,0.67,3.68,1.17,1.8,1.1,41.77,6.34,4.41,14.15,3.2,6.66,2.08,169.9
1.4,30,6.05,7.29,4.44,51.6,1.78,0.61,4.32,2.72,3.7,1.8,9.59,4.71,0.93,14.36,4.2,4.63,29.9,277.9
3.2,29,3.45,6.7,7.27,46.2,2.53,1.07,3.2,1.07,2.9,2,14.99,32.34,20.36,24.36,1,2.38,1.25,118.3
3,30.3,5.76,7.1,6.72,50.9,3.57,0.27,3.52,0.87,1,0.6,59.51,18.49,8.07,12.09,1.4,3.81,2,153.5
2.5,31.4,5.6,7,6.72,39.3,2.89,0.44,4.16,1.36,3,1.6,70.94,0.94,3.29,11.89,2,5.24,1.88,251.8
0.7,27.3,4.75,7.08,7.78,51.2,2.41,2.85,3.36,1.84,2.8,1.6,54.16,48.25,44.18,59.58,17.4,2.86,42.8,173.8
1.6,29,5.3,6.85,9.29,56.8,3.58,0.71,3.2,1.17,4.1,2.5,59.86,11.3,8.01,40.79,3.4,9.52,4.48,103.5
0.5,28.8,3.94,7.15,9.53,59.1,3.92,1.17,3.52,2.24,1.1,1.7,32.28,45.82,6.12,91.31,25,2.14,32.9,173.8
1.5,29,6.05,7.15,9.2,44.6,2.06,1.13,3.52,2.04,2.5,1.8,14.7,0.02,7.17,24.3,4.2,8.55,12.25,204.58
0.8,28.1,5.58,6.9,3.72,55,2.45,1.39,4,1.46,2.3,1.8,58.46,27.59,33.31,40.79,6.4,1.17,16.68,88.9
3.3,29.5,5.92,7.04,6.77,48,2.31,1.09,3.52,1.26,2.7,1.8,18.97,11.02,16.49,18.75,1.8,3.33,1.63,103.3
3.5,30.6,0.26,6.95,2.29,70.7,2.13,0.25,4,1.36,1.1,0.7,12.91,11.38,0.93,8.41,1,5.47,11.15,129.3
1.5,29.9,5.93,6.9,5.8,54.5,1.6,0.52,3.36,1.65,2.7,1.4,5.32,20.26,25.76,37.9,4,12.61,10,186.54
2.2,31,8.1,7.36,8.65,51.4,2.53,0.32,5.44,2.72,3,2.9,21.79,31.11,1.97,28.07,3,15.47,15.8,201.9
1.2,29.4,7.16,7.68,8.65,51.2,2.53,0.51,4.64,3.01,2.6,1.8,22.9,80.55,2.67,19.16,6.6,4.88,21,156.1
2.6,29.2,6.74,6.97,6.3,47.8,2.29,0.76,4.16,1.36,2.3,1.8,17.98,6.98,22.61,28.72,1.4,4.05,1.8,177.2
2.8,29.7,5.8,6.96,3.72,49,2.67,0.45,2.72,1.75,2.6,1.8,65.31,52.72,1.96,11.92,2,5.47,1.55,202.8
2.7,28.7,0.28,6.64,8.88,57.1,2.27,2.6,2.72,1.65,2,1.7,87.26,39.6,26.56,84.38,5.8,5.68,5.83,170.9
2.6,28.4,1.23,6.53,6.14,50.3,3.1,1.35,3.84,2.33,2.1,1.7,13.99,18.95,32.27,38.7,1.8,4.64,6.31,188.3
1.2,28.8,5.83,7.06,3.83,45.1,1.42,0.86,4.96,2.14,1.8,1.7,19.57,61.73,7.51,40.07,6.6,13.09,18.75,175.2
1.6,30.4,6.47,7.41,6.61,53.8,2.53,0.69,4,1.85,4.4,1.8,86.76,1.04,8.12,20,3.2,3.91,3.42,104.2
2,29.7,3.6,6.8,6,49.1,2.18,0.91,3.36,0.87,1.9,1.3,29.56,3.86,3.37,6.05,3.6,11.19,16.04,341.4
2.1,30.5,6.26,7.03,4.32,37.4,1.92,0.35,4.33,1.52,2,1,32.46,0.95,11.34,15.95,3,14.04,3.51,62.8
1.1,29.3,6.01,6.86,5.66,41.2,1.99,1.04,4,1.46,1.9,1.4,10.69,33.18,9.24,36.64,2.8,6.66,10.34,171.6
2.2,28.8,5.75,6.99,4.81,56.9,3.11,0.08,3.2,1.84,2.2,1.6,6.26,62.35,1.28,8.41,4.4,8.09,2.81,162.17
0.8,28.7,2.95,7.47,9.92,52.2,2.22,3.06,3.2,0.87,1.8,2.1,35.98,41.31,14.6,42.64,8.8,4.72,20.4,154
0.5,28.7,6.98,7.59,6.99,50.3,2.74,1.19,4.8,3.08,2.5,1.7,30.67,48.96,4.05,38.7,32.2,5.47,41.7,160.6
2.4,30.2,3.42,6.77,8.16,39.7,2.63,0.75,4,1.46,3.1,1.7,146.96,10.17,7.8,20,1.6,2.86,3.08,199.95
1.8,28.5,6.97,7.5,2.21,41.6,2.56,0.08,3.84,1.36,2,0.9,20.68,25.8,2.67,14.15,7.8,5.71,2.29,151.2
2,30.1,5.95,7.35,6.62,54.5,4.59,0.23,3.2,1.45,1.3,1.1,12.91,9.42,1.28,24.27,2.4,12.61,13.68,209.74
2.6,29.6,4.48,6.8,6.4,55.3,2.55,0.31,3.52,1.17,3,1.8,59.85,4.68,13.59,18.03,6.2,10.38,2.32,69.2
2.5,29,6.84,7.56,6.89,54.6,2.94,0.19,4,0.3,1.6,1,10.7,29.6,1.63,5.71,1.2,4.05,0.69,91.4
2.8,30.4,5.93,6.79,6.72,52.7,2.13,0.59,3.68,1.26,2.2,1.5,50.87,1.87,6.51,21.19,2.8,4.76,1.08,172.4
1.8,30.1,5.29,6.79,9.12,37.3,2.32,0.88,3.84,1.41,2.1,1.6,19.63,9.42,11.66,27.17,5,14.28,4.59,104.7
1.8,30,4.63,7.03,3.49,61.8,3.41,0.52,4.48,1.65,5,1.8,19.57,4.46,1.97,20.9,1.8,13.57,11.9,201.96
2.3,30,5.43,7.45,9.28,57.3,2.61,0.52,4,1.94,5.5,2.2,95.73,11.39,9.41,15.95,1.8,5,3.82,81.6
4.2,30.3,5.04,7,3.84,34.3,1.87,0.07,4,1.45,1.7,1.1,19.57,7.83,2.32,11.79,3.2,4.52,0.72,151.6
3.7,29.6,5.73,6.7,6.89,55.7,2.94,0.33,4.32,1.41,1.3,2,0.82,35.91,4.64,17.06,0.8,3.57,1.25,183.76
2.6,29.8,6.55,7.42,4.81,54.6,3.41,0.41,4,1.46,2.7,1.5,12,66.15,8.76,12.21,1.4,4.76,4.59,144.8
2.6,30.5,6.99,7.62,6.43,52.8,3.01,0.24,4.8,2.72,1.7,1.2,11.71,1.15,0.93,17.1,5.4,9.76,4.27,181.3
2,30.8,6.38,7.48,8.16,40.9,2.63,0.27,3.84,2.53,2.6,1.6,90.59,11.07,5.09,9.56,3,9.28,3.13,159.6
0.6,29.5,5.11,7.19,6.99,55.4,2.74,1.2,4.32,1.56,1.3,1.7,35.66,52.7,15.18,41.51,22.16,3.09,19.05,130.76
3.1,29.5,6.54,7.56,6.89,54.6,2.94,0.13,3.52,2.19,2.3,1.5,3.02,46.04,11.97,15.42,1,4.28,1.77,179.63
1,29.9,3.38,7.1,8.48,69.2,2.73,0.28,3.2,0.68,4.2,2.3,57.37,36.09,1.55,7.44,7.6,12.79,6.7,145.3
2.2,30.7,7.33,7.55,8.65,51.3,2.53,0.27,5.44,2.53,3.6,2.2,15.13,27.8,1.97,20.53,3,14.76,14.69,161.6
0.8,30.3,6.76,7.09,6.43,47.4,1.77,3.43,3.84,2.24,2.1,1.6,28.45,16.54,5.78,79.84,5.2,5.61,11.7,287.86
0.8,29.4,4.2,7.25,5.88,56.5,2.39,1.06,4.16,1.36,1.7,2.1,111.67,38.45,29.15,37.54,4.2,6.8,8.34,71.9
2.2,31.4,6.12,7.29,1.83,36.4,2.13,0.31,3.52,2.33,2,1.1,50.64,2.45,4.41,15.5,3.4,7.62,2.38,168.4
2.8,30.1,5.54,6.95,3.84,37.6,1.42,0.1,3.68,2.92,3.1,1.7,17.35,4.19,0.59,6.47,0.8,4.76,2,113.1
1.2,30,6.92,7.51,1.7,53.3,1.78,0.42,5.6,2.4,2.1,1.2,7.37,0.51,16.52,30.47,5.4,5.71,18.16,243.1
1.7,28.8,1.95,7.17,6.38,54.1,3.41,0.78,4,1.65,2.1,1.8,84.4,84.5,11.41,19.49,1.2,4.12,5.42,74.8
1.2,30.1,6.65,7.11,4.08,45.1,1.49,0.77,4.96,2.43,1.8,1.7,20.68,46.51,6.13,48.64,6.2,20.94,18.84,257.58
0.6,28.8,5.68,7.06,6.91,46.5,2.41,2.75,3.52,1.75,2.4,1.5,53.18,47.75,31.3,51.16,27.2,3.57,42.6,173.8
2.3,29.9,5.35,7.34,7.2,57.4,2.45,0.51,4,1.94,5.7,2.2,75.8,12.72,10.37,17.5,2.2,4.76,2.22,211.64
1.8,29,3.21,6.95,4.33,62.1,7.67,0.73,4,0.97,5.3,1.9,28.45,2.44,2.67,25.96,1,9.04,9.6,172
2,29.1,5.4,6.42,6.89,46.8,4.33,0.47,4.8,2.62,2.3,1.8,8.48,126.35,5.78,6.47,2,3.33,7.44,179
2.5,29.6,6.08,7.5,5.66,51.3,4.59,0.26,4.48,1.16,2,1.2,31.59,1.5,5.33,7.44,4.4,3.74,2.26,243.1
2,29.7,4.63,7.09,4.16,90.6,4.69,0.47,3.04,1.85,4.2,1.8,83.93,38.48,0.53,20.9,3.4,10.71,8.08,300.6
2.5,28.9,5.05,7.4,5.8,41.2,1.6,0.2,4.16,1.36,1.9,1.1,14.02,76.02,5.11,14.49,2.2,3.81,2.01,186.54
3,29.9,6,7.39,4.88,58.4,2.9,0.69,4.48,1.17,1.4,1.2,0.82,4.02,1.26,12.09,1,6.43,1.48,202.45
2.8,29.6,5.99,7,5.17,49.4,4.09,0.57,2.4,2.14,2.7,3.7,40.77,34.11,2.72,12.28,2.2,6.66,1.68,90
1.7,30.5,5.56,7.16,6.8,47.6,2.99,0.71,4.32,1.36,4.1,1.2,19.63,2.86,16.17,20,2.6,16.02,5.72,220.1
2,29.7,4.89,7.05,4.96,66.5,2.38,2.25,4,1.07,2,1.2,22.9,14.04,1.28,36.08,5.2,8.77,4.23,127.8
1.5,29,5.62,7.66,4.39,56.1,3.41,0.91,2.72,1.46,3.4,1.5,59.05,4.41,27.99,14.75,1.2,4.63,4.6,145.9
0.7,28.4,6.28,7.03,2.6,46.3,1.42,0.76,5.44,2.14,1.3,1.1,20.68,27.28,4.05,33.9,30.2,6.42,22.9,173.8
0.9,29.8,5.11,7.03,8.16,56.3,3.07,0.68,4.32,0.78,1.7,2.1,34.68,43.41,16.69,36.01,4.4,7.38,6.94,72.3
4,30.4,4.84,7.28,2.32,41,1.7,0.19,4.16,2.24,3,1.3,9.59,4.68,1.28,6.81,1.6,7.62,11.13,180.2
0.8,29,6.3,7.57,9.6,57.4,2.13,2.03,4,0.49,2.2,2,9.6,37.76,13.23,45.3,8.4,15.23,22,204.58
1.6,28.9,5.75,7.03,4.39,58.2,3.03,1.1,4.8,1.46,3.1,1.7,23.96,17.11,30.01,38.07,2.8,2.62,5.49,183.2
2.2,30.7,1.43,6.67,10.65,42.4,2.42,2.13,3.36,1.84,3.4,1.7,61.07,55.52,19.71,74.22,4.4,4.81,5.13,188.7
2.8,29.7,4.94,7.38,2.4,53.3,2.56,0.57,3.84,1.46,1.4,1.4,0.81,35.56,9.45,3.57,1.8,5.24,2.49,147.6
2,29.6,0.5,6.73,6.24,54.6,2.18,0.91,3.2,0.97,2,1.4,140.53,2.74,3.02,10.1,10.67,6.6,52,108.2
1.4,28.6,4.59,7.67,5.88,34.3,2.39,0.84,3.52,1.94,1.7,1.1,28.45,38.34,11.38,24.61,5,3.33,6.15,204.66
1.7,30.2,5.95,6.99,3.67,41.2,2.56,0.61,3.68,2.53,3,1.8,10.7,0.8,1.28,27.38,4.8,16.66,3.9,183.4
1.3,29.3,0.55,6.5,12.8,67,4.26,6.17,3.68,1.65,2.4,3,194.9,25.11,33.83,93.55,12.8,5.09,16.4,321.1
3,30.4,0.73,6.52,9.04,57.5,2.64,5.71,3.84,1.94,3.7,1.7,273.21,27.21,25.51,42.44,10,5.38,14.09,118.7
3.4,29.5,5.03,6.64,3.24,42.1,1.7,0.27,4.16,2.62,3.6,1.5,11.81,41.78,0.59,3.39,1,4.5,8.9,162.2
0.8,29,6.06,7.06,5.88,43,2.39,1.11,3.36,2.24,2.1,1.6,27.34,87.66,11.67,27.38,6.6,6.8,25.5,251.2
3.1,29.5,4.5,6.87,3.16,46,2.06,0.22,4.16,2.53,2.9,2.1,28.45,2.98,0.24,3.73,1.2,8.09,1.96,207.8
3,29.9,3.8,7.21,6.89,37.1,2.94,0.85,4,0.68,1.6,1,11.81,79.66,0.93,26.97,6.8,3.19,9.33,183.76
1.6,30.5,4.63,6.87,6.64,40.4,3.35,0.52,3.42,1.48,2.5,1.3,6.8,18.93,15.2,27.79,5.6,5.71,6,80.4
1.2,30,6.21,7.14,3.23,72.4,2.77,0.85,3.84,2.14,0.8,0.4,10.7,17.02,3.36,28.07,14.2,15.95,6.4,220.1
4,29.9,7.93,7.42,6.89,41,4.33,0.16,3.52,2.92,4.5,1.1,26.23,4.63,0.93,6.13,1.2,4.28,9.68,160.6
3.5,30.4,4.69,6.85,4.64,41.2,2.13,0.12,3.04,3.3,2.7,1.6,35.11,6.28,5.22,27.38,1.6,5.47,9.77,171.1
2.7,29.3,6.15,6.61,7.92,50.4,2.86,1.09,3.04,1.56,3.4,2,93.74,2.53,35.76,29.97,1.4,1.67,1.19,182.3
2.5,29,0.99,6.39,6.48,53.7,2.61,3.76,4.48,1.17,2,1.7,109.69,22.2,21.97,25.3,9.33,5.63,10.63,115.4
2.1,32.4,3.42,6.87,5.44,36.7,1.86,0.87,3.8,1.75,1.9,1.1,78.83,10.78,13.27,32.46,3.8,6.49,5.98,70.2
1.5,29.4,2.79,6.56,3.23,37.6,2.84,1.82,2.88,2.13,1.9,1.8,139.42,3.55,3.01,71.27,23.2,11.56,12.77,185.9
0.5,29.7,5.36,7.5,8.63,46.8,2.52,1.09,4,1.94,1.9,1.6,179.56,83.03,9.09,32.15,17.2,3.81,30,101.83
1.8,30.5,6.4,7.15,6.48,66.4,4.26,0.31,4.32,2.04,3.1,1.8,34.89,27.57,12.54,26.73,4.4,15.71,7.27,77.7
1.2,29.3,1.55,6.69,1.57,46.3,1.7,1.57,4.64,2.33,1.9,1.9,26.23,168.8,7.17,32.53,17,8.5,22.4,184.2
3.5,30.7,5.31,6.98,4.16,40.9,1.99,0.11,3.36,3.01,2.8,1.6,29.56,3.36,5.22,23.61,2.4,6.66,10.51,178.2
2,30.2,6.15,6.72,5.44,66.1,2.55,1.56,4.8,0.48,2.3,1.1,26.23,14.04,0.93,13.47,2.8,10,3.07,143.3
3,29.9,4.73,7.33,8.16,45.8,2.63,0.68,3.52,1.75,5.6,2.5,33.93,16.94,11.34,13.45,1.2,5.71,2.7,199.95
3.1,29.6,0.7,6.41,10.93,67.9,2.84,4.47,3.04,2.14,4.9,2.9,214.87,52.57,36.95,63.38,5.2,4.48,11.18,201.4
1.7,31.1,5.01,6.62,8.62,39.7,2.16,1.06,4,1.55,2.6,1.3,38.38,14.3,20.03,21.87,4.8,8.09,6.68,168.1
2,30.1,4.28,6.34,7.27,53.9,3.75,0.56,3.52,1.26,2.8,1.4,10.77,20.29,6.87,14.44,2.8,7.62,5.38,227.98
1.5,29.8,6.12,7.05,8,48,2.27,1.07,4,1.94,2.4,1.5,57.3,15.56,0.93,23.61,6,8.5,25.1,263
0.9,30.9,6.3,7.33,8.16,53.7,1.79,1.75,4.16,1.17,2.2,1.7,23.96,26.51,19.71,14.08,6.6,7.14,14.14,176.7
2.4,27.5,0.84,7.5,11.76,75.1,3.24,3.24,3.84,2.92,2.2,1.7,61.25,0.1,35.55,33.99,5.4,3.33,13.2,164.3
4.2,31,3.66,6.5,14.96,39.5,3.48,1.02,4,0.97,2.8,1.6,66.01,5.5,12.31,14.39,1.6,4.28,1.44,167.7
2.6,30.9,7.02,7.63,6.43,52.7,3.01,0.35,4.96,2.62,1.7,1.3,11.71,8.58,0.24,25.67,7,5.95,4.59,281.78
0.8,28.9,6.75,7.2,6.14,67.1,2.45,2.04,4.32,2.24,4,1.8,12,15.1,39.35,44.62,13.2,6.9,10.63,220.1
3,30.5,4.68,6.83,6.16,44.7,2.38,0.38,4,1.94,3.1,1.4,51.2,13.03,9.73,13.45,0.6,4.76,1.75,202.45
3.1,31.7,6.59,7.52,4.16,57.8,1.92,0.11,4.8,1.75,3,1.6,24.01,8.07,1.63,13.33,2.4,5.63,3.64,193.3
1.2,29.1,6.3,7.46,8.65,51.5,2.53,1.57,5.6,2.43,2.7,1.9,51.75,70.45,6.13,31.5,24.8,8.14,58.8,166.4
0.5,29.6,7.32,7.46,8.63,47,2.52,1.33,4.32,1.94,1.9,1.6,194.89,85.3,17.46,34.02,29.8,2.86,28.3,89
3,27.5,0.35,7.21,12.64,65.6,2.56,5.14,2,2.19,1.8,1.9,93.12,11.83,47.91,18.3,10,5.68,14.16,149.1
1.4,30.6,3.83,6.84,8.8,82.1,4.43,0.98,4.8,1.36,6.8,2.5,17.3,15.07,2.24,29.73,6.6,17.14,7.87,200.85
3,30,5.52,7.99,6.77,52.8,1.87,0.33,4,1.46,1.8,1.6,17.3,3.04,17.69,15.07,0.6,3.09,2.99,141.8
3,29,1.07,6.98,7.28,56,2.39,1.03,3.68,1.46,1.7,1.7,39.27,4.61,11.85,16.73,2.4,2.14,3.3,140.9
1.8,30.2,5.61,6.93,8,35.3,2.81,0.64,4,1.36,2.1,1.6,13.71,9.42,11.02,27.17,3.6,15.47,4.18,209.74
2,29.6,6.77,7.17,5.68,48.9,2.18,0.91,3.36,0.87,1.7,1.3,9.59,40.93,2.32,11.45,3.4,10.47,16.44,202.8
2.5,29.8,6.25,6.36,4.48,53.4,2.29,0.56,4.32,1.07,2.3,1.2,25.95,12.46,10.37,13.14,1.4,3.81,3.16,105.2
2.5,30.7,4.2,7.11,5.2,52.7,2.86,0.28,4.8,1.46,2.8,1.6,122.81,13.54,3.61,4.11,1.8,2.86,2.31,128.5
0.9,28.5,5.62,7.18,6.4,43.8,1.92,1.16,4,2.33,1.7,1.4,19.16,33.03,10.63,42.81,6.2,4.72,32,204.29
2,30.6,5.03,7.1,9.68,52.8,3.58,0.9,2.72,1.46,4.3,2.1,293.12,15.02,36.23,23.81,3.2,6.66,3.74,161.8
2,28.3,6.18,6.3,6.89,46.7,4.33,0.57,4.64,2.53,2.8,2.1,18.46,103.78,7.51,8.19,1.4,5,5.85,179.1
2.4,29.8,4.81,7.04,5.6,37.4,1.81,0.72,4,1.7,2.5,1.1,404.44,8.76,11.98,15.63,5.4,4.11,4.62,173.83
1.3,29.8,6.46,7.04,6.24,45.8,1.99,0.91,3.84,1.85,2.3,1.5,37.33,38.83,3.7,35.27,5.2,5.09,8.29,245.84
3,29.9,5.25,7.34,6.89,40.5,2.94,0.11,4.16,1.36,1.7,1,9.59,53.48,0.93,6.39,0.4,3.81,3.31,183.76
1,30.5,6.66,7.01,4.91,43.3,1.49,1.02,4.32,2.14,2.6,2.3,12.91,43.27,8.9,39.04,6.2,15.47,18.98,159.5
1.1,30,7.39,7.29,3.31,51.8,2.34,0.72,3.52,2.33,1,0.4,10.7,48.56,4.05,27.04,8,9.76,8.75,220.1
3.1,30.4,7.18,7.49,5.52,41.1,1.85,0.16,4,2.43,1.9,1,10.7,0.39,0.24,29.44,1.4,5.95,1.76,212.94
2.6,29.8,6.22,7.39,4.81,54.2,3.41,0.42,3.84,1.56,2.7,1.5,5.02,69.14,9.4,17.5,1,4.76,3.89,150.4
1.4,28.8,5.36,8.09,5.88,34.2,2.39,0.74,3.36,2.24,1.7,1.2,35.11,12.49,11.38,28.99,5.2,4.76,5.43,261.8
2,30.2,6.84,7.41,4.85,40.9,1.92,0.33,4.16,3.3,1.8,1.6,5.15,9.42,19.98,33.21,3,11.9,17.3,169.4
0.9,29.3,7,7.05,5.9,53.2,2.04,0.79,3.2,2.62,2.3,1.3,12.99,4.96,25.18,31.22,19.4,6.9,6.38,220.1
