@relation master
@attribute RMSVA real
@attribute RMSVB real
@attribute RMSVC real
@attribute RMSIA real
@attribute RMSIB real
@attribute RMSIC real
@attribute class {AT,BT,CT,AB,AC,BC,ABC,ABT,ACT,BCT,ABCT}
@data
0.708,0.478,0.473,2.06E-4,0.003,0.003,BC
0.710,0.483,0.447,2.04E-4,0.003,0.003,BC
0.707,0.429,0.435,2.04E-4,0.003,0.003,BC
0.836,0.239,0.223,3.3E-4,0.003,0.003,BCT
0.829,0.290,0.315,3.2E-4,0.003,0.003,BCT
0.840,0.233,0.207,3.23E-4,0.003,0.003,BCT
0.832,0.280,0.247,3.27E-4,0.003,0.003,BCT
0.835,0.347,0.362,3.11E-4,0.003,0.003,BCT
0.842,0.352,0.307,3.14E-4,0.003,0.003,BCT
0.839,0.361,0.392,3.09E-4,0.003,0.003,BCT
0.854,0.250,0.226,3.12E-4,0.003,0.003,BCT
0.832,0.307,0.337,3.19E-4,0.003,0.003,BCT
0.864,0.279,0.295,3.07E-4,0.004,0.003,BCT
0.875,0.195,0.215,3.09E-4,0.004,0.003,BCT
0.857,0.213,0.193,3.13E-4,0.003,0.003,BCT
0.817,0.315,0.301,3.24E-4,0.003,0.003,BCT
0.850,0.211,0.203,3.19E-4,0.003,0.003,BCT
0.881,0.215,0.187,3.06E-4,0.004,0.004,BCT
0.825,0.255,0.239,3.3E-4,0.003,0.003,BCT
0.816,0.362,0.337,3.1E-4,0.003,0.003,BCT
0.864,0.209,0.225,3.1E-4,0.004,0.003,BCT
0.879,0.195,0.214,3.07E-4,0.004,0.003,BCT
0.855,0.220,0.209,3.13E-4,0.004,0.003,BCT
0.828,0.276,0.254,3.26E-4,0.003,0.003,BCT
0.855,0.210,0.191,3.15E-4,0.003,0.003,BCT
0.835,0.262,0.284,3.2E-4,0.003,0.003,BCT
0.862,0.220,0.229,3.14E-4,0.003,0.003,BCT
0.827,0.286,0.254,3.36E-4,0.003,0.003,BCT
0.845,0.221,0.239,3.2E-4,0.003,0.003,BCT
0.813,0.341,0.794,3.84E-4,0.002,2.63E-4,BT
0.870,0.215,0.831,3.77E-4,0.002,2.43E-4,BT
0.843,0.259,0.811,3.75E-4,0.002,2.42E-4,BT
0.868,0.187,0.837,3.71E-4,0.002,2.36E-4,BT
0.821,0.361,0.801,3.73E-4,0.002,2.61E-4,BT
0.858,0.199,0.831,3.73E-4,0.002,2.4E-4,BT
0.837,0.274,0.813,3.81E-4,0.002,2.53E-4,BT
0.859,0.258,0.827,3.66E-4,0.002,2.39E-4,BT
0.836,0.329,0.800,3.71E-4,0.002,2.47E-4,BT
0.819,0.293,0.783,4.01E-4,0.002,2.56E-4,BT
0.816,0.304,0.792,4.05E-4,0.002,2.78E-4,BT
0.820,0.244,0.789,4.11E-4,0.002,2.61E-4,BT
0.811,0.356,0.784,3.86E-4,0.002,2.57E-4,BT
0.859,0.292,0.829,3.72E-4,0.002,2.5E-4,BT
0.837,0.261,0.811,3.78E-4,0.002,2.46E-4,BT
0.830,0.237,0.800,3.92E-4,0.002,2.49E-4,BT
0.838,0.215,0.813,3.85E-4,0.002,2.48E-4,BT
0.825,0.275,0.792,3.95E-4,0.002,2.51E-4,BT
0.821,0.322,0.782,3.93E-4,0.002,2.55E-4,BT
0.864,0.180,0.826,3.86E-4,0.002,2.47E-4,BT
0.874,0.183,0.839,3.8E-4,0.003,2.46E-4,BT
0.857,0.222,0.826,3.8E-4,0.002,2.49E-4,BT
0.821,0.272,0.785,4.01E-4,0.002,2.53E-4,BT
0.828,0.255,0.795,3.95E-4,0.002,2.5E-4,BT
0.864,0.179,0.826,3.77E-4,0.002,2.35E-4,BT
0.822,0.338,0.791,3.78E-4,0.002,2.51E-4,BT
0.842,0.297,0.825,3.62E-4,0.002,2.45E-4,BT
0.818,0.397,0.794,3.59E-4,0.002,2.47E-4,BT
0.856,0.277,0.814,3.7E-4,0.002,2.38E-4,BT
0.843,0.270,0.818,3.75E-4,0.002,2.49E-4,BT
0.836,0.229,0.811,3.88E-4,0.002,2.53E-4,BT
0.860,0.194,0.837,3.74E-4,0.002,2.43E-4,BT
0.859,0.224,0.837,3.72E-4,0.002,2.46E-4,BT
0.818,0.293,0.789,3.96E-4,0.002,2.59E-4,BT
0.796,0.827,0.222,2.58E-4,4.05E-4,0.002,CT
0.821,0.853,0.228,2.51E-4,3.84E-4,0.002,CT
0.812,0.838,0.264,2.47E-4,3.76E-4,0.002,CT
0.815,0.836,0.264,2.51E-4,3.78E-4,0.002,CT
0.817,0.839,0.263,2.5E-4,3.77E-4,0.002,CT
0.782,0.813,0.302,2.53E-4,3.98E-4,0.002,CT
0.812,0.838,0.223,2.47E-4,3.84E-4,0.002,CT
0.805,0.815,0.400,2.5E-4,3.51E-4,0.002,CT
0.834,0.861,0.209,2.38E-4,3.71E-4,0.002,CT
0.805,0.838,0.256,2.44E-4,3.81E-4,0.002,CT
0.802,0.835,0.229,2.52E-4,3.95E-4,0.002,CT
0.807,0.840,0.307,2.44E-4,3.69E-4,0.002,CT
0.829,0.840,0.289,2.49E-4,3.65E-4,0.002,CT
0.815,0.843,0.243,2.48E-4,3.8E-4,0.002,CT
0.784,0.809,0.378,2.61E-4,3.79E-4,0.002,CT
0.822,0.839,0.308,2.45E-4,3.64E-4,0.002,CT
